slug,row_type,order,series_name,start_location,end_location,delay,slice_thickness,plane,acquisition,fov,thickness_increment,kernel,ir_strength,notes
cta-chest-abdomen-pelvis,recon,4,,,,,,Sagittal,Arterial,Full CAP,3 mm/3 mm,Vascular,3,Sagittal MIP and curved MPR of aorta
cta-chest,acquisition,1,CTA Arterial Chest,Lung apices,Adrenal glands,Bolus tracked,0.625 mm,,,,,,,Caudocranial direction
cta-chest,acquisition,2,Stent Delay (optional),Top of Stent,Bottom of Stent,40 sec,0.625 mm,,,,,,,Stent coverage
cta-chest,recon,1,,,,,,Axial,Arterial,Chest,1.25 mm/1.25 mm,Vascular,3,Primary diagnostic series
cta-chest,recon,2,,,,,,Axial,Arterial,Chest,2.5 mm/2.5 mm,Lung,3,Lung window for parenchyma
cta-chest,recon,3,,,,,,Coronal,Arterial,Chest,2.5 mm/2.5 mm,Vascular,3,MIP coronal great vessels
cta-chest,recon,4,,,,,,Sagittal,Arterial,Chest,2.5 mm/2.5 mm,Vascular,3,MIP sagittal aortic arch
cta-diep-flap-pre-operative,acquisition,1,CTA Arterial,Xiphoid,Pubic symphysis,Bolus tracked,0.625 mm,,,,,,,Focus on abdominal wall
cta-diep-flap-pre-operative,recon,1,,,,,,Axial,Arterial,Abdomen,1 mm/1 mm,Vascular,3,Thin slice for perforator mapping
cta-diep-flap-pre-operative,recon,2,,,,,,Coronal,Arterial,Abdomen,1.5 mm/1.5 mm,Vascular,3,MIP to show perforator course
cta-diep-flap-pre-operative,recon,3,,,,,,Sagittal,Arterial,Abdomen,2 mm/2 mm,Vascular,3,Lateral views of perforators
cta-diep-flap-pre-operative,recon,4,,,,,,3D VR,Arterial,Anterior abd wall,1 mm source,Vascular,3,3D reconstruction for surgical planning
cta-for-gi-bleed,acquisition,1,Arterial Phase,Diaphragm,Pubic symphysis,25 sec,0.625 mm,,,,,,,High flow rate 5 mL/s critical
cta-for-gi-bleed,acquisition,2,Delayed Phase,Diaphragm,Pubic symphysis,90 sec,0.625 mm,,,,,,,Extended delay to see pooling of contrast
cta-for-gi-bleed,recon,1,,,,,,Axial,Arterial,Full AP,2.5 mm/2.5 mm,Standard,3,Look for arterial blush/extravasation
cta-for-gi-bleed,recon,2,,,,,,Axial,Delayed,Full AP,2.5 mm/2.5 mm,Standard,3,Look for contrast pooling in bowel
cta-for-gi-bleed,recon,3,,,,,,Coronal,All phases,Full AP,3 mm/3 mm,Standard,3,MIP to track extravasation
cta-lower-extremity-free-flap,acquisition,1,CTA Arterial,Mid-Thigh,Toes,Bolus tracked,0.625 mm,,,,,,,Bilateral for comparison and variants
cta-lower-extremity-free-flap,acquisition,2,CTA Delayed,Mid-Thigh,Toes,60s,0.625 mm,,,,,,,Bilateral for comparison and variants
cta-lower-extremity-free-flap,recon,1,,,,,,Axial,Arterial,Thighs/Legs,1 mm/1 mm,Vascular,3,Thin slice for perforator identification
cta-lower-extremity-free-flap,recon,2,,,,,,Coronal,Arterial,Full legs,1.5 mm/1.5 mm,Vascular,3,MIP to show perforator course
cta-lower-extremity-free-flap,recon,3,,,,,,Sagittal,Arterial,Full legs,2 mm/2 mm,Vascular,3,Lateral perforator views
cta-lower-extremity-runoff-for-pad,acquisition,1,CTA Arterial,Renal arteries,Ankle,Bolus tracked,0.625 mm,,,,,,,May need slower table speed if severe PAD
cta-lower-extremity-runoff-for-pad,acquisition,2,CTA Runoff,Mid Thigh,Foot,Immediately after CTA,0.625 mm,,,,,,,Runoff phase to evaluate distal vessels
cta-lower-extremity-runoff-for-pad,recon,1,,,,,,Axial,Arterial,Pelvis/Legs,2 mm/2 mm,Vascular,3,Assess all vessel segments
cta-lower-extremity-runoff-for-pad,recon,2,,,,,,Coronal,Arterial,Full legs,3 mm/3 mm,Vascular,3,MIP full arterial tree
cta-lower-extremity-runoff-for-pad,recon,3,,,,,,Sagittal,Arterial,Full legs,3 mm/3 mm,Vascular,3,Lateral views of vessels
cta-lower-extremity-runoff-for-pad,recon,4,,,,,,3D VR,Arterial,Full legs,1.5 mm source,Vascular,3,3D for surgical planning
cta-mesenteric-ischemia,acquisition,1,Arterial Phase,Diaphragm,Iliac crests,25 sec,0.625 mm,,,,,,,Focus on celiac SMA IMA
cta-mesenteric-ischemia,acquisition,2,Portal Venous,Diaphragm,Pubic symphysis,70 sec,0.625 mm,,,,,,,Assess bowel wall enhancement
cta-mesenteric-ischemia,recon,1,,,,,,Axial,Arterial,Abdomen,2 mm/2 mm,Vascular,3,Mesenteric vessel origins
cta-mesenteric-ischemia,recon,2,,,,,,Axial,Portal venous,Full AP,2.5 mm/2.5 mm,Standard,3,Bowel wall assessment
cta-mesenteric-ischemia,recon,3,,,,,,Coronal,Arterial,Abdomen,2.5 mm/2.5 mm,Vascular,3,MIP of mesenteric vessels
cta-mesenteric-ischemia,recon,4,,,,,,Sagittal,Arterial,Abdomen,2.5 mm/2.5 mm,Vascular,3,Curved MPR SMA from origin
cta-pelvis-cyclist-iliac-artery-maneuver,acquisition,1,CTA Resting Position,L3,Mid femur,Bolus tracked,0.625 mm,,,,,,,Supine resting position
cta-pelvis-cyclist-iliac-artery-maneuver,acquisition,2,CTA Hip Flexion,L3,Mid femur,Immediately after,0.625 mm,,,,,,,Hips flexed 90 degrees - cycling position
cta-pelvis-cyclist-iliac-artery-maneuver,recon,1,,,,,,Axial,Resting,Pelvis,1.5 mm/1.5 mm,Vascular,3,Baseline iliac artery anatomy
cta-pelvis-cyclist-iliac-artery-maneuver,recon,2,,,,,,Axial,Flexion,Pelvis,1.5 mm/1.5 mm,Vascular,3,Assess for kinking with flexion
cta-pelvis-cyclist-iliac-artery-maneuver,recon,3,,,,,,Coronal,Both phases,Pelvis,2 mm/2 mm,Vascular,3,MIP comparison rest vs flexion
cta-pelvis-cyclist-iliac-artery-maneuver,recon,4,,,,,,Sagittal,Both phases,Pelvis,2 mm/2 mm,Vascular,3,Lateral view iliac course
cta-pelvis-prostate-artery-embolization,acquisition,1,CTA Arterial,Iliac crest,Lesser trochanters,Bolus tracked,0.625 mm,,,,,,,Focus on internal iliac branches
cta-pelvis-prostate-artery-embolization,recon,1,,,,,,Axial,Arterial,Pelvis,1 mm/1 mm,Vascular,3,Identify prostate artery origins
cta-pelvis-prostate-artery-embolization,recon,2,,,,,,Coronal,Arterial,Pelvis,1.5 mm/1.5 mm,Vascular,3,MIP of iliac vessels
cta-pelvis-prostate-artery-embolization,recon,3,,,,,,Sagittal,Arterial,Pelvis,1.5 mm/1.5 mm,Vascular,3,Lateral view pelvic vessels
cta-pelvis-prostate-artery-embolization,recon,4,,,,,,3D VR,Arterial,Pelvis,0.75 mm source,Vascular,3,3D roadmap for interventional radiologist
cta-popliteal-entrapment,acquisition,1,CTA Neutral Position,Distal femur,Ankle,Bolus tracked from 1st injection,0.625 mm,,,,,,,Both legs neutral resting position
cta-popliteal-entrapment,acquisition,2,CTA Delayed Neutral Position,Distal femur,Ankle,40 sec delay from 1st injection,0.625 mm,,,,,,,Both legs neutral resting position
cta-popliteal-entrapment,acquisition,3,CTA Plantarflexion,Distal femur,Ankle,Bolus tracked from 2nd injection,0.625 mm,,,,,,,Patient actively plantarflexes both feet - point toes
cta-popliteal-entrapment,recon,1,,,,,,Axial,Neutral,Both legs,1.5 mm/1.5 mm,Vascular,3,Baseline popliteal artery anatomy
cta-popliteal-entrapment,recon,2,,,,,,Axial,Plantarflexion,Both legs,1.5 mm/1.5 mm,Vascular,3,Assess for compression with maneuver
cta-popliteal-entrapment,recon,3,,,,,,Coronal,Both phases,Both legs,2 mm/2 mm,Vascular,3,MIP comparison neutral vs flexion
cta-popliteal-entrapment,recon,4,,,,,,Sagittal,Both phases,Both legs,2 mm/2 mm,Vascular,3,Lateral view popliteal fossa
cta-scadfmd-protocol,acquisition,1,Non-contrast Head,Vertex,Foramen magnum,N/A,5 mm,,,,,,,Arms down - baseline
cta-scadfmd-protocol,acquisition,2,CTA Neck,Aortic arch,Vertex,Bolus tracked,0.625 mm,,,,,,,Arms down - carotid/vertebral
cta-scadfmd-protocol,acquisition,3,CTA CAP,Diaphragm,Pubic symphysis,35 sec after neck,0.625 mm,,,,,,,Arms UP - renal and mesenteric
cta-scadfmd-protocol,acquisition,4,Post-contrast Head,Vertex,Foramen magnum,After CAP,1.25 mm,,,,,,,Arms DOWN - intracranial vessels
cta-scadfmd-protocol,recon,1,,,,,,Axial,All phases,Respective FOV,Phase-specific,Vascular,3,Comprehensive arterial assessment
cta-scadfmd-protocol,recon,2,,,,,,Coronal,CTA phases,Full body,2-3 mm/2-3 mm,Vascular,3,MIP of all arterial territories
cta-scadfmd-protocol,recon,3,,,,,,Sagittal,CTA phases,Full body,2-3 mm/2-3 mm,Vascular,3,Lateral views all vessels
cta-scadfmd-protocol,recon,4,,,,,,3D VR,CTA phases,Full body,1 mm source,Vascular,3,3D reconstruction multi-territory
cta-upper-extremity,acquisition,1,CTA Arterial,Aortic arch,Fingertips,Bolus tracked,0.625 mm,,,,,,,Include arch through hand
cta-upper-extremity,recon,1,,,,,,Axial,Arterial,Full arm,1.5 mm/1.5 mm,Vascular,3,Primary diagnostic
cta-upper-extremity,recon,2,,,,,,Coronal,Arterial,Full arm,2 mm/2 mm,Vascular,3,MIP full vessel course
cta-upper-extremity,recon,3,,,,,,Sagittal,Arterial,Full arm,2 mm/2 mm,Vascular,3,Lateral MIP
cta-upper-extremity,recon,4,,,,,,3D VR,Arterial,Full arm,1 mm source,Vascular,3,3D reconstruction
ctv-abdomen-pelvis,acquisition,1,CTV Venous Phase,Diaphragm,Proximal femur,180 sec,0.625 mm,,,,,,,Extended delay for venous opacification
ctv-abdomen-pelvis,recon,1,,,,,,Axial,Venous,Full AP,2.5 mm/2.5 mm,Standard,3,Assess for filling defects
ctv-abdomen-pelvis,recon,2,,,,,,Coronal,Venous,Full AP,3 mm/3 mm,Standard,3,MIP of venous system
ctv-abdomen-pelvis,recon,3,,,,,,Sagittal,Venous,Full AP,3 mm/3 mm,Standard,3,IVC and iliac veins
ctv-abdomen-pelvis,recon,4,,,,,,3D VR,Venous,Full AP,2 mm source,Standard,3,3D venous anatomy
ctv-chest-abdomen-pelvis,acquisition,1,CTV Venous Phase,Thoracic inlet,Proximal femur,180 sec,0.625 mm,,,,,,,Extended venous phase
ctv-chest-abdomen-pelvis,recon,1,,,,,,Axial,Venous,Chest,2 mm/2 mm,Standard,3,SVC and central veins
ctv-chest-abdomen-pelvis,recon,2,,,,,,Axial,Venous,Abdomen/Pelvis,2.5 mm/2.5 mm,Standard,3,IVC and tributaries
ctv-chest-abdomen-pelvis,recon,3,,,,,,Coronal,Venous,Full CAP,3 mm/3 mm,Standard,3,MIP full venous system
ctv-chest-abdomen-pelvis,recon,4,,,,,,Sagittal,Venous,Full CAP,3 mm/3 mm,Standard,3,Sagittal venogram
