protocol_name,last_updated,author,clinical_indications,patient_positioning,npo_status,premedication_notes,contrast_agent,contrast_volume,contrast_flow_rate,contrast_timing_method,contrast_roi_placement,contrast_trigger_hu,contrast_labs_notes,tech_notes,nursing_notes,radiologist_notes,gantt_contrast_volume,gantt_contrast_duration,gantt_saline_volume,gantt_saline_duration,gantt_scan_section,gantt_scan_phase,gantt_scan_style,gantt_scan_delay,gantt_scan_duration,safety_renal_function,safety_allergy_check,series_1_name,series_1_start,series_1_end,series_1_delay,series_1_thickness,series_1_notes,series_2_name,series_2_start,series_2_end,series_2_delay,series_2_thickness,series_2_notes,series_3_name,series_3_start,series_3_end,series_3_delay,series_3_thickness,series_3_notes,series_4_name,series_4_start,series_4_end,series_4_delay,series_4_thickness,series_4_notes,series_5_name,series_5_start,series_5_end,series_5_delay,series_5_thickness,series_5_notes,postproc_1_plane,postproc_1_acq,postproc_1_fov,postproc_1_thickness,postproc_1_kernel,postproc_1_ir,postproc_1_notes,postproc_2_plane,postproc_2_acq,postproc_2_fov,postproc_2_thickness,postproc_2_kernel,postproc_2_ir,postproc_2_notes,postproc_3_plane,postproc_3_acq,postproc_3_fov,postproc_3_thickness,postproc_3_kernel,postproc_3_ir,postproc_3_notes,postproc_4_plane,postproc_4_acq,postproc_4_fov,postproc_4_thickness,postproc_4_kernel,postproc_4_ir,postproc_4_notes,artifact_reduction_tip,category,kv,mas,rotation_time,pitch,additional_recons,
Trauma Code AAA,2024-01-15,Dr. Davis,Ruptured AAA | Aortic emergency | Hemodynamic instability with abdominal pain,Supine with arms raised,None - emergency,None,Omnipaque 350,125 mL,4-5 mL/s,Triple phase: NC + Arterial + Portal venous,Abdominal aorta,150 HU,Proceed emergently. Life-saving indication,RAPID triple phase: 1) NC CAP (hematoma) 2) Arterial CAP (active bleed bolus track 25-30s) 3) Portal venous CAP (70s). STAT protocol,Large bore IV 18G minimum. Blood products ready,NC: retroperitoneal hematoma. Arterial: active extravasation aneurysm morphology. Portal: solid organs,125mL,31s,50mL,13s,CAP,Triple phase emergency,crit,Variable,60s total,Emergent - proceed,Document emergency,Scout,Diaphragm,Pubic symphysis,N/A,N/A,STAT,Non-Contrast CAP,Diaphragm,Pubic symphysis,N/A,2.5 mm,RAPID - hematoma,Arterial CAP,Diaphragm,Pubic symphysis,25-30 sec,0.625 mm,Active bleeding + aneurysm,Portal Venous CAP,Diaphragm,Pubic symphysis,70 sec,2.5 mm,Organs and venous,,,,,,,Axial,All phases,CAP,2.5 mm/2.5 mm,Vascular/Standard,3,Compare phases,Coronal,Arterial,CAP,2.5 mm/2.5 mm,Vascular,3,Aorta and bleeding,Sagittal,Arterial,Aorta,2 mm/2 mm,Vascular,3,Aorta extent,3D VR,Arterial,Aorta,1.5 mm,Vascular,3,STAT 3D for EVAR planning,STAT protocol. Minimize delays. Notify vascular surgery,trauma,100-120,High mAs (300 reference),0.5,1.0-1.375,Measure aneurysm. Identify bleeding site. EVAR measurements if stable,
Pregnant Trauma CT AP,2024-01-15,Dr. Anderson,Pregnant trauma patient | Multi-trauma pregnancy | Maternal injury assessment,Supine with left lateral tilt if possible,None - trauma,None,Omnipaque 350,125 mL,3 mL/s,Portal venous,N/A,N/A,Proceed with trauma indication. Document medical necessity and gestational age,Portal venous phase 70s. SINGLE PHASE to minimize fetal radiation. Shield uterus if injury distant. Document weeks gestation,Pregnancy documented. Fetal heart tones if equipment available. Shield if possible,Assess maternal injuries. Minimize fetal radiation exposure. Document placental injury if visible,125mL,42s,50mL,17s,Abdomen/Pelvis,Portal venous phase,done,1:10,25s,Check if known,Trauma indication documented,Scout,Diaphragm,Pubic symphysis,N/A,N/A,Low dose scout,Portal Venous AP,Diaphragm,Pubic symphysis,70 sec,2.5 mm,Single phase minimize radiation,,,,,,,,,,,,,,,,,,,Axial,Portal venous,AP,2.5 mm/2.5 mm,Standard,3,Maternal organs,Coronal,Portal venous,AP,3 mm/3 mm,Standard,3,Overview,Sagittal,Portal venous,Pelvis,3 mm/3 mm,Standard,3,Uterus and placenta,,,,,,,,Document gestational age. Shield fetus if possible. Minimize radiation,trauma,100,Reduced mAs if possible,0.5,1.375,,
Non-Contrast CT Chest Routine,2024-01-15,Dr. Thompson,Pulmonary nodule | Interstitial lung disease screening | Chest pain low risk | Follow-up,Supine with arms raised,None,None,None,None,None,Non-contrast,N/A,N/A,No contrast required,Standard dose helical chest. Lung apices to costophrenic angles. Routine lung and mediastinal windows,No IV needed. Breath hold coaching,Assess lung parenchyma nodules masses. Mediastinal lymph nodes. Pleura. Incidental findings,N/A,N/A,N/A,N/A,Chest,Non-contrast scan,done,0:00,8s,N/A,N/A,Scout,Lung apices,Costophrenic angles,N/A,N/A,AP and lateral,NC Chest,Lung apices,Costophrenic angles,N/A,1-1.25 mm,Standard dose helical,,,,,,,,,,,,,,,,,,,Axial,Chest,Chest,2.5 mm/2.5 mm,Standard,3,Mediastinal window,Axial,Chest,Chest,2.5 mm/2.5 mm,Lung,3,Lung window,Coronal,Chest,Chest,3 mm/3 mm,Lung,3,Coronal lung,Sagittal,Chest,Chest,3 mm/3 mm,Standard,3,Optional mediastinum,Full inspiration breath hold,chest,120,Auto (reference 200),0.5,1.0-1.2,Thin slice 1mm for nodule detection and measurement,
Non-Contrast CT Chest Low Dose,2024-01-15,Dr. Kim,Lung cancer screening | Low risk pulmonary nodule follow-up | Smoking history screening,Supine with arms raised,None,None,None,None,None,Non-contrast low dose,N/A,N/A,No contrast. Lung cancer screening protocol,LOW DOSE technique. Reduced mAs 30-50% of standard. Helical acquisition. High IR strength,No IV. Explain screening purpose and low radiation,Lung nodule detection. Measure nodules. Lung-RADS classification. Emphysema assessment,N/A,N/A,N/A,N/A,Chest,Low dose scan,done,0:00,8s,N/A,N/A,Scout,Lung apices,Costophrenic angles,N/A,N/A,Low dose AP,Low Dose Chest,Lung apices,Costophrenic angles,N/A,1-1.25 mm,Low dose helical,,,,,,,,,,,,,,,,,,,Axial,Chest,Chest,1.25 mm/1.25 mm,Lung,High IR 4-5,Thin slice nodule detection,Axial,Chest,Chest,2.5 mm/2.5 mm,Standard,3,Mediastinal window,Coronal,Chest,Chest,2 mm/2 mm,Lung,High IR,Coronal overview,MIP,Chest,Lungs,5 mm slab,Lung,N/A,Nodule detection,Low dose protocol. High iterative reconstruction. Nodule measurement software,chest,100-120,Low dose (40-60 reference),0.5,1.0-1.2,CAD nodule detection. Measure all nodules ≥3mm. Lung-RADS reporting,
Non-Contrast Chest Lung Nodule Ultra Low Dose,2024-01-15,Dr. Rodriguez,Pulmonary nodule follow-up | Known nodule surveillance | Post-treatment monitoring,Supine with arms raised,None,None,None,None,None,Non-contrast ultra low dose,N/A,N/A,No contrast. Ultra low dose for follow-up only,ULTRA LOW DOSE 10-20% standard dose. For follow-up of KNOWN nodules only. Not for initial detection. Maximum IR,No IV. Known nodule follow-up only,Follow known nodules. Compare to prior. Measure size. Not for initial detection,N/A,N/A,N/A,N/A,Chest,Ultra low dose,done,0:00,8s,N/A,N/A,Scout,Lung apices,Costophrenic angles,N/A,N/A,Ultra low dose,Ultra Low Dose Chest,Lung apices,Costophrenic angles,N/A,1-1.25 mm,Ultra low dose helical,,,,,,,,,,,,,,,,,,,Axial,Chest,Chest,1.25 mm/1.25 mm,Lung,Maximum IR 5,Nodule follow-up,Axial,Chest,Chest,2.5 mm/2.5 mm,Standard,High IR,Mediastinal,Coronal,Chest,Chest,2 mm/2 mm,Lung,Maximum IR,Coronal,,,,,,,,Ultra low dose. Maximum IR. Prior comparison essential,chest,100,Ultra low (20-30 reference),0.5,1.0-1.2,,
Volumetric HRCT 2 Respiratory Phases,2024-01-15,Dr. White,Interstitial lung disease initial evaluation | ILD diagnosis | Diffuse lung disease,Supine with arms raised,None,None,None,None,None,Non-contrast volumetric,N/A,N/A,No contrast. ILD protocol,TWO acquisitions: 1) Full INSPIRATION 2) Limited EXPIRATION (carina to bases). Volumetric (contiguous thin slice). Coach breathing,No IV. Careful breath hold coaching. Inspiration and expiration,ILD pattern recognition. Honeycombing. Ground glass. Reticular. Mosaic attenuation on expiration,N/A,N/A,N/A,N/A,Chest,Dual phase HRCT,done,0:00,15s,N/A,N/A,Scout,Lung apices,Costophrenic angles,N/A,N/A,AP lateral,Volumetric Inspiration,Lung apices,Costophrenic angles,Full inspiration,1 mm,Contiguous 1mm slices,Limited Expiration,Carina,Costophrenic angles,Full expiration,1 mm,Limited coverage expiration,,,,,,,,,,,,,Axial,Inspiration,Chest,1 mm/1 mm,Lung,3,Thin slice ILD assessment,Axial,Expiration,Lower lungs,1 mm/1 mm,Lung,3,Air trapping assessment,Coronal,Inspiration,Chest,1.5 mm,Lung,3,ILD distribution,Sagittal,Inspiration,Chest,2 mm,Lung,3,Craniocaudal distribution,Volumetric contiguous slices. Coach breathing carefully,chest,120,Auto (reference 150-200),0.5,1,Thin slice for ILD detail. Compare inspiration vs expiration. Quantitative analysis if available,
Non-Volumetric HRCT 3 Respiratory Phases,2024-01-15,Dr. Hayes,Air trapping assessment | Small airways disease | Constrictive bronchiolitis | Hypersensitivity pneumonitis,Supine with arms raised,None,None,None,None,None,Non-contrast sequential,N/A,N/A,No contrast. Air trapping protocol,THREE acquisitions: 1) INSPIRATION 2) MID-EXPIRATION 3) FULL EXPIRATION. Non-volumetric (1-2cm intervals). Lower dose than volumetric,No IV. Coach three breathing phases carefully,Mosaic attenuation. Air trapping. Small airways disease. Compare three phases,N/A,N/A,N/A,N/A,Chest,Triple phase HRCT,done,0:00,12s,N/A,N/A,Scout,Lung apices,Costophrenic angles,N/A,N/A,AP,Inspiration,Lung apices,Costophrenic angles,Full inspiration,1 mm axial at 1-2cm intervals,Sequential non-volumetric,Mid-Expiration,Lung apices,Costophrenic angles,Mid-expiration,1 mm at intervals,Sequential,Full Expiration,Lung apices,Costophrenic angles,Full expiration,1 mm at intervals,Sequential,,,,,,,Axial,All phases,Chest,1 mm display,Lung,3,Compare three phases,Coronal reformat,Inspiration,Chest,2 mm,Lung,3,Inspiration overview,Mosaic MIP,All phases,Lungs,5 mm,Lung,N/A,Air trapping visualization,,,,,,,,Coach three distinct breath holds. Non-volumetric lower dose,chest,120,Reduced (100-150 reference),Sequential,N/A,Side-by-side comparison of three phases. Quantify air trapping,
Non-Volumetric HRCT 1 Respiratory Phase,2024-01-15,Dr. Chen,HRCT follow-up | Known ILD monitoring | Bronchiectasis assessment,Supine with arms raised,None,None,None,None,None,Non-contrast sequential,N/A,N/A,No contrast,Single INSPIRATION phase. Non-volumetric (1-2cm intervals). Lower dose for follow-up,No IV. Single inspiration breath hold,Follow ILD changes. Bronchiectasis. Lower radiation than volumetric,N/A,N/A,N/A,N/A,Chest,Single phase HRCT,done,0:00,5s,N/A,N/A,Scout,Lung apices,Costophrenic angles,N/A,N/A,AP,HRCT Inspiration,Lung apices,Costophrenic angles,Full inspiration,1 mm at 1-2cm intervals,Sequential slices,,,,,,,,,,,,,,,,,,,Axial,HRCT,Chest,1 mm display,Lung,3,HRCT images,Coronal,HRCT,Chest,2 mm,Lung,3,Coronal overview,Targeted,HRCT,Area of interest,1 mm,Lung,3,Focus on abnormality,,,,,,,,Non-volumetric reduces dose. Good for follow-up,chest,120,Reduced (100-150 reference),Sequential,N/A,Target slices through abnormality. Compare to prior,
Non-Volumetric HRCT 1 Phase Prone,2024-01-15,Dr. Martinez,Dependent atelectasis vs fibrosis | Posterior lung assessment | ILD with gravity-dependent changes,Prone with arms extended forward,None,None,None,None,None,Non-contrast sequential,N/A,N/A,No contrast. Prone positioning,Single INSPIRATION. PRONE position. Non-volumetric (1-2cm intervals). Distinguish atelectasis from fibrosis,Position patient prone safely. Cushion support. Breath hold coaching,Differentiate dependent atelectasis from true fibrosis. Posterior lung better aerated prone,N/A,N/A,N/A,N/A,Chest,Prone HRCT,done,0:00,5s,N/A,N/A,Scout Prone,Lung apices,Costophrenic angles,N/A,N/A,Lateral,HRCT Prone,Lung apices,Costophrenic angles,Full inspiration,1 mm at 1-2cm intervals,Sequential prone,,,,,,,,,,,,,,,,,,,Axial,HRCT prone,Chest,1 mm display,Lung,3,Prone images,Coronal,HRCT prone,Chest,2 mm,Lung,3,Coronal prone,Compare,Supine vs prone,Posterior lungs,1 mm,Lung,3,Dependent changes,,,,,,,,Safe prone positioning. Compare to supine if available,chest,120,Reduced (100-150 reference),Sequential,N/A,Compare prone to supine to differentiate atelectasis from fibrosis,
Dynamic Airway CT,2024-01-15,Dr. Lee,Tracheomalacia | Bronchomalacia | Expiratory central airway collapse | EDAC,Supine with arms raised,None,None,None,None,None,Non-contrast dynamic,N/A,N/A,No contrast. Airway dynamics,TWO acquisitions: 1) INSPIRATION carina to carina+10cm 2) MID-EXPIRATION same level. Cine if available. Airway reconstructions required,No IV. Coach dynamic breathing. May need forced expiration,Measure tracheal collapse percentage. >50% collapse suggests tracheomalacia. Assess bronchi,N/A,N/A,N/A,N/A,Airway,Dynamic phases,done,0:00,10s,N/A,N/A,Scout,Thoracic inlet,Carina+10cm,N/A,N/A,Lateral,Inspiration,Thoracic inlet,Carina+10cm,Full inspiration,0.625-1 mm,Thin for 3D,Mid-Expiration,Thoracic inlet,Carina+10cm,Forced mid-expiration,0.625-1 mm,Same level as inspiration,Cine (optional),Carina level,Single slice,Continuous breathing,Cine mode,Dynamic collapse,,,,,,,Axial,Both phases,Airway,1-2 mm/1 mm,Lung,3,Axial airway,Coronal,Both phases,Airway,1.5 mm,Lung,3,Coronal airway,Sagittal,Both phases,Airway,1.5 mm,Lung,3,Sagittal airway,3D VR,Both phases,Airway,0.625-1 mm source,Lung,N/A,3D airway reconstruction,Coach forced expiration. Exact same level both phases,chest,120,Auto (reference 200),0.5,Helical,Measure tracheal AP diameter inspiration vs expiration. Calculate collapse percentage. 3D airway,
Quantitative Lung Density CT,2024-01-15,Dr. Patel,Emphysema quantification | COPD assessment | Alpha-1 antitrypsin deficiency | Pre-LVRS,Supine with arms raised,None,None,None,None,None,Non-contrast volumetric,N/A,N/A,No contrast. Quantitative protocol,TWO VOLUMETRIC acquisitions: 1) Full INSPIRATION 2) FULL EXPIRATION (complete exhalation). Contiguous thin slices. Quantitative software,No IV. Coach complete inspiration and complete expiration,Quantify emphysema (% lung <-950 HU inspiration). Air trapping (% lung <-856 HU expiration). Emphysema distribution,N/A,N/A,N/A,N/A,Chest,Inspiration + Expiration,done,0:00,15s,N/A,N/A,Scout,Lung apices,Costophrenic angles,N/A,N/A,AP lateral,Volumetric Inspiration,Lung apices,Costophrenic angles,Full inspiration (TLC),0.625-1 mm,Contiguous for quantification,Volumetric Expiration,Lung apices,Costophrenic angles,Full expiration (RV),0.625-1 mm,Contiguous complete exhalation,,,,,,,,,,,,,Axial,Inspiration,Chest,1 mm/1 mm,Lung,3,Quantitative inspiration,Axial,Expiration,Chest,1 mm/1 mm,Lung,3,Quantitative expiration,Density map,Inspiration,Lungs,Color coded,Lung,N/A,Emphysema distribution map,Density map,Expiration,Lungs,Color coded,Lung,N/A,Air trapping map,Complete exhalation critical for RV. Volumetric contiguous,chest,120,Auto (reference 150-200),0.5,1,Quantitative emphysema analysis. Report % lung <-950 HU. Air trapping metrics. Upper/lower lobe distribution,
Brain Stroke Protocol,2024-01-15,Dr. Williams,Acute stroke | CVA | Neurological deficit < 24 hours | Stroke code,Supine head-first,None - emergency,None,Omnipaque 350 for CTA/CTP,100 mL,4-5 mL/s,Multi-phase stroke protocol,Multiple ROIs,Varies,Proceed emergently. Time is brain,STAT protocol: 1) NC Head 2) CTA Head/Neck (aortic arch to vertex) 3) CTP (optional). Minimize door-to-scan time,No IV for NC. Large bore for CTA/CTP. STAT coordination,NC: hemorrhage early ischemia hyperdense vessel. CTA: LVO large vessel occlusion. CTP: penumbra core mismatch,100mL,23s,40mL,10s,Head/Neck,Multi-phase stroke,crit,Variable,45s total,Emergency proceed,STAT protocol,Scout,Vertex,Aortic arch,N/A,N/A,STAT lateral,NC Head,Vertex,Foramen magnum,N/A,5 mm,STAT no contrast,CTA Head,Skull base,Vertex,Bolus tracked aorta,0.625 mm,Intracranial vessels,CTA Neck,Aortic arch,Skull base,Continues from head,0.625 mm,Extracranial vessels,CTP (optional),Basal ganglia level,8cm slab,Auto-triggered,5 mm dynamic,Perfusion if candidate,Axial,NC head,Brain,5 mm/5 mm,Brain,3,STAT hemorrhage detection,Axial,CTA head,Brain,1 mm/1 mm,Brain,3,LVO detection,MIP,CTA,Circle of Willis,Thick slab,Brain,N/A,Vessel overview,CTP maps,CTP,Perfusion,Color maps,N/A,N/A,CBF CBV MTT Tmax maps,STAT protocol. Minimize delays. LVO detection critical,neuro,120,Auto (300 head),1.0 / 0.5,0.5,CTA MIP and 3D. CTP perfusion maps if done. ASPECTS score. LVO documentation,
CTA Head,2024-01-15,Dr. Thompson,Aneurysm screening | Subarachnoid hemorrhage | Vascular malformation | Intracranial stenosis,Supine head-first,NPO 2 hours,None,Omnipaque 350,75-100 mL,4-5 mL/s,Bolus Tracking,Aortic arch or carotid,150 HU,Full dose if eGFR > 30,NC Head optional then CTA skull base to vertex. Bolus tracking. Submillimeter for 3D reconstruction,20G IV minimum. Good bolus essential,Assess circle of Willis. Aneurysms. Stenosis. Vascular malformations. Anatomic variants,90mL,20s,40mL,10s,Head,Intracranial arterial,crit,0:22,8s,Verify eGFR > 30,Check allergy history,Scout,Vertex,C1,N/A,N/A,Lateral,NC Head (optional),Vertex,Foramen magnum,N/A,5 mm,Baseline if SAH,CTA Head,Skull base,Vertex,Bolus tracked,0.5-0.625 mm,Submillimeter for 3D,,,,,,,,,,,,,Axial,CTA,Head,0.75 mm/0.75 mm,Brain,3,Source images,MIP,CTA,Circle of Willis,Thick slab,Brain,N/A,Vessel overview,3D VR,CTA,Intracranial vessels,0.5 mm source,Brain,N/A,3D angiogram,Curved MPR,CTA,Individual vessels,0.75 mm,Brain,3,Vessel-specific views,Minimize motion. Thin slices for small aneurysms,neuro,100-120,Auto (reference 250),0.5-0.6,Helical,3D VR and MIP. Measure aneurysm if present. Assess A1 A2 dominance,
CTA Neck,2024-01-15,Dr. Kim,Carotid stenosis | Vertebral artery dissection | Neck vessel assessment | Pre-CEA planning,Supine head-first,NPO 2 hours,None,Omnipaque 350,90-100 mL,4-5 mL/s,Bolus Tracking,Aortic arch,150 HU,Full dose if eGFR > 30,Aortic arch to skull base. Bolus tracking in arch. Submillimeter. Minimize swallowing during scan,20G IV antecubital preferred,Assess carotid bifurcations. Stenosis grading. Vertebral arteries. Dissection. Plaque morphology,100mL,23s,40mL,10s,Neck,Arterial phase,crit,0:25,12s,Verify eGFR > 30,Check allergy history,Scout,Aortic arch,Skull base,N/A,N/A,AP lateral,CTA Neck,Aortic arch,Skull base,Bolus tracked,0.625 mm,Caudocranial,,,,,,,,,,,,,,,,,,,Axial,CTA,Neck,1 mm/1 mm,Vascular,3,Source images,Coronal,CTA,Neck,1.5 mm,Vascular,3,Vessel overview,Sagittal,CTA,Carotids,1.5 mm,Vascular,3,Vertebral arteries,Curved MPR,CTA,Carotid bifurcations,1 mm,Vascular,3,Stenosis measurement,Minimize swallowing. Submillimeter acquisition,neuro,100-120,Auto (reference 200),0.5,0.9,Curved MPR both carotid bifurcations. Measure stenosis (NASCET). 3D VR. MIP,
CTV Head,2024-01-15,Dr. Rodriguez,Venous sinus thrombosis | Dural sinus thrombosis | Intracranial hypertension | Venous malformation,Supine head-first,NPO 2 hours,None,Omnipaque 350,75-100 mL,3-4 mL/s,Fixed delay venous,N/A,N/A,Full dose if eGFR > 30,NC Head then delayed venous CTV (60-90 sec). Skull base to vertex. Assess venous sinuses,18-20G IV,NC: hemorrhage. CTV: filling defects in sinuses. Venous thrombosis. Cortical vein thrombosis,90mL,25s,40mL,11s,Head,Venous phase,done,1:30,8s,Verify eGFR > 30,Check allergy history,Scout,Vertex,C1,N/A,N/A,Lateral,NC Head,Vertex,Foramen magnum,N/A,5 mm,Baseline,CTV Head,Skull base,Vertex,60-90 sec delay,0.625-1 mm,Venous phase,,,,,,,,,,,,,Axial,CTV,Head,1 mm/1 mm,Brain,3,Venous sinuses,MIP,CTV,Sinuses,Thick slab,Brain,N/A,Venogram overview,3D VR,CTV,Venous system,1 mm source,Brain,N/A,3D venogram,Sagittal,CTV,Midline,1.5 mm,Brain,3,Sagittal sinus,Delayed timing 60-90 sec. Look for filling defects,neuro,120,Auto (reference 250),0.5-0.6,Helical,3D VR venogram. MIP maximum intensity projection. Document filling defects,
CT Sinus,2024-01-15,Dr. Hayes,Sinusitis | Sinus disease | Pre-operative sinus surgery | Nasal obstruction,Supine head-first,None,None,None,None,None,Non-contrast,N/A,N/A,No contrast,Coronal acquisition skull base through maxillary sinuses. Submillimeter for anatomy. Bone and soft tissue windows,No IV. Remove dentures and metal,Assess all sinuses. Ostiomeatal complex. Anatomic variants. Mucosal thickening. Polyps. Bony anatomy,N/A,N/A,N/A,N/A,Sinuses,Non-contrast scan,done,0:00,5s,N/A,N/A,Scout,Frontal sinus,Maxillary sinus,N/A,N/A,Lateral,Coronal Sinus,Frontal sinus,Maxillary sinus,N/A,0.625 mm,Direct coronal if possible,Axial reformat,Frontal,Maxillary,From coronal,0.625 mm,Reformatted from coronal,,,,,,,,,,,,,Coronal,Sinus,Sinuses,1.25 mm/0.75 mm,Bone,N/A,Bone window,Coronal,Sinus,Sinuses,3 mm/2 mm,Standard,3,Soft tissue,Axial,Sinus,Sinuses,2 mm/2 mm,Bone,N/A,Axial bone,Sagittal,Sinus,Sinuses,2 mm/2 mm,Bone,N/A,Midline and lateral,Direct coronal preferred. Submillimeter for anatomy,neuro,120,Auto (reference 200),Axial or coronal,N/A,Document anatomic variants (Haller cells concha bullosa). OMC assessment,
CT Sinus Stereotactic,2024-01-15,Dr. Chen,Pre-operative sinus surgery planning | Image-guided surgery | ENT surgical navigation,Supine head-first. Surgical planning position,None,None,None,None,None,Non-contrast stereotactic,N/A,N/A,No contrast. Surgical navigation,Submillimeter isotropic acquisition. DICOM for surgical navigation system. May need fiducial markers. Entire sinus anatomy,Position as for surgery. Fiducials if required,Complete sinus anatomy for surgical navigation. Ostiomeatal complex. Skull base. Lamina papyracea,N/A,N/A,N/A,N/A,Sinuses,Stereotactic scan,done,0:00,8s,N/A,N/A,Scout,Frontal sinus,Hard palate,N/A,N/A,Lateral,Stereotactic Sinus,Frontal sinus,Hard palate,N/A,0.625 mm,Isotropic submillimeter,,,,,,,,,,,,,,,,,,,Axial,Stereo,Sinuses,0.625 mm/0.625 mm,Bone,N/A,Isotropic bone,Coronal,Stereo,Sinuses,0.625 mm/0.625 mm,Bone,N/A,Isotropic coronal,Sagittal,Stereo,Sinuses,0.625 mm/0.625 mm,Bone,N/A,Isotropic sagittal,3D surface,Stereo,Sinuses,0.625 mm source,Bone,N/A,Surface rendering for navigation,Isotropic voxels essential. DICOM for navigation,neuro,120,Auto (reference 200),Helical,Pitch for isotropic,Export DICOM to surgical navigation system. Isotropic 0.625mm,
CT Facial Bones,2024-01-15,Dr. Martinez,Facial trauma | Orbital fractures | Zygoma fractures | Nasal fractures | Mandible fractures,Supine head-first,None,None,None,None,None,Non-contrast,N/A,N/A,No contrast. Trauma or facial injury,Frontal sinus to mandible. Submillimeter for 3D. Axial acquisition with multiplanar reformats. Remove dentures,Remove all facial metal. Dentures out,Le Fort classification. Orbital floor. Zygoma. Nasal bones. Mandible. NOE complex. 3D for surgical planning,N/A,N/A,N/A,N/A,Face,Non-contrast scan,done,0:00,8s,N/A,N/A,Scout,Frontal sinus,Mandible,N/A,N/A,Lateral,Facial Bones,Frontal sinus,Mandible,N/A,0.625 mm,Submillimeter for 3D,,,,,,,,,,,,,,,,,,,Axial,Face,Face,1.25 mm/1 mm,Bone,N/A,Axial bone windows,Coronal,Face,Face,1.25 mm/1 mm,Bone,N/A,Coronal face,Sagittal,Face,Midface,2 mm/1.5 mm,Bone,N/A,Sagittal midline,3D,Face,Facial bones,0.625 mm source,Bone,N/A,3D surface rendering,Remove dentures and facial metal,neuro,120,Auto (reference 250),0.5,Helical,3D surface rendering. Document Le Fort if present. Orbital floor assessment,
CT Head 3D Stereotactic,2024-01-15,Dr. Lee,Stereotactic surgery planning | DBS planning | Biopsy planning | Surgical navigation | Gamma knife,Supine in surgical position. Head in frame if required,None,None,None typically. Contrast optional,If contrast: 100 mL,3 mL/s,Non-contrast or contrast,N/A,N/A,No contrast unless tumor. Stereotactic protocol,Submillimeter ISOTROPIC acquisition. Vertex to skull base. DICOM for surgical planning. Frame or fiducials if required,Position exactly as for surgery. Frame placement if required,Isotropic high-resolution for surgical targeting. Anatomic landmarks. Tumor if contrast,N/A (or 100mL if contrast),N/A (or 27s),N/A (or 40mL),N/A (or 11s),Head,Stereotactic scan,done (or crit if contrast),Variable,10s,N/A or verify eGFR,N/A or check allergy,Scout,Vertex,Skull base,N/A,N/A,Lateral,Stereotactic Head,Vertex,Skull base,N/A (or 60-90s if contrast),0.5-0.625 mm,Isotropic submillimeter,,,,,,,,,,,,,,,,,,,Axial,Stereo,Brain,0.5 mm/0.5 mm,Brain (Bone if needed),3,Isotropic axial,Coronal,Stereo,Brain,0.5 mm/0.5 mm,Brain,3,Isotropic coronal,Sagittal,Stereo,Brain,0.5 mm/0.5 mm,Brain,3,Isotropic sagittal midline,3D surface,Stereo,Brain,0.5 mm source,Brain,3,Surface for navigation,Isotropic voxels critical. Export DICOM to surgical planning,neuro,120,Auto (reference 300),Helical,Pitch for isotropic,Export to surgical navigation. Isotropic 0.5mm. Coordinates for targeting,
CT Orbits,2024-01-15,Dr. Davis,Orbital mass | Thyroid eye disease | Orbital cellulitis | Optic nerve assessment | Trauma,Supine head-first,NPO 2 hours if contrast,None,Omnipaque 350 if contrast,75-100 mL if contrast,3 mL/s,Non-contrast +/- contrast,N/A,N/A,Contrast if mass/infection. NC for trauma/foreign body,Orbits: superior orbital rim to maxillary sinus. Axial 1-2mm. Coronal reformats. NC for trauma. Contrast for masses/inflammation,Contrast for mass or inflammation. NC for trauma and metallic foreign body,Extraocular muscles. Optic nerve. Globe integrity. Orbital fat. Preseptal vs postseptal. Masses. Foreign body,90mL if contrast,25s,40mL,11s,Orbits,NC or contrast,done or crit,Variable,5s,N/A or verify eGFR > 30,N/A or check allergy,Scout,Superior orbital rim,Maxillary sinus,N/A,N/A,Lateral,Axial Orbits,Superior orbital rim,Maxillary sinus,N/A or 60s if contrast,1-1.5 mm,Parallel to optic nerves,,,,,,,,,,,,,,,,,,,Axial,Orbits,Orbits,1.5 mm/1 mm,Bone and Standard,3,Bone for fractures soft tissue for pathology,Coronal,Orbits,Orbits,1.5 mm/1 mm,Bone and Standard,3,Coronal orbits,Sagittal,Orbits,Optic nerve,2 mm/1.5 mm,Standard,3,Optic nerve canal,3D if trauma,Orbits,Orbital bones,1 mm source,Bone,N/A,3D if complex fracture,Angle axial parallel to optic nerves. Thin slices,neuro,120,Auto (reference 200-250),0.5,Helical,Assess optic nerve canal. Measure EOMs if thyroid eye disease. Document foreign body,
